Внешний код,Название,Активность,Символьный код,Сортировка,Текст анонса,Тип текста,Картинка анонса,Детальный текст,Тип текста,Детальная картинка,Производитель,Тип,Серия,Партномер,Номинальное входное напряжение_В,Выходное напряжение_В,Тип корпуса,Размеры корпуса_мм_x,Размеры корпуса_мм_y,Размеры корпуса_мм_z,Температурный диапазон_С°,Мощность_Вт,Максимальный проходной ток_А,Дополнительные фото,Datasheet,Заменяет,Заголовок h1,title,description,Название секции 1 уровень,Символьный код секции 1 уровень,XML_ID секции 1 уровень
proizvodstvo-preobrazovatelej-napryazheniya_265,Модульный преобразователь DC/DC Иртыш 28 В / 200 Вт ET-F28M-28VP200R23,Y,modulnyj-preobrazovatel-dc-dc-irtysh-28-v-200-vt-et-f28m-28vp200r23,26600,,html,ET-F.jpg,,html,ET-F.jpg,ЭКБ ТЕСТ,DC/DC,ET-F28,ET-F28M-28VP200R23,"""28"" (9..36)",28,full brick,117,"55,9","12,7","""M""  (-55..100)",200,"7,1",,ET-F28.pdf,proizvodstvo-preobrazovatelej-napryazheniya_325####proizvodstvo-preobrazovatelej-napryazheniya_449,Модульный преобразователь DC/DC Иртыш 28 В / 200 Вт ET-F28M-28VP200R23,Модульный преобразователь DC/DC Иртыш 28 В / 200 Вт ET-F28M-28VP200R23⚡Серия «ИРТЫШ»®⚡DC/DC модульные преобразователи ✔ полная «PIN-TO-PIN» совместимость с продукцией VICOR⚡Производство преобразователей напряжения ЭКБ ТЕСТ,ЭКБ ТЕСТ — надёжный партнёр для вашего бизнеса. Комплексные решения в микроэлектронике. Адекватные цены на производство преобразователей. Разумные сроки. Индивидуальный подход.,Модульные преобразователи ИРТЫШ,modulnye-preobrazovateli-irtysh,proizvodstvo-preobrazovatelej-napryazheniya_section_2
proizvodstvo-preobrazovatelej-napryazheniya_266,Модульный преобразователь DC/DC Иртыш 36 В / 200 Вт ET-F28M-36VP200R23,Y,modulnyj-preobrazovatel-dc-dc-irtysh-36-v-200-vt-et-f28m-36vp200r23,26700,,html,ET-F.jpg,,html,ET-F.jpg,ЭКБ ТЕСТ,DC/DC,ET-F28,ET-F28M-36VP200R23,"""28"" (9..36)",36,full brick,117,"55,9","12,7","""M""  (-55..100)",200,"5,6",,ET-F28.pdf,proizvodstvo-preobrazovatelej-napryazheniya_325####proizvodstvo-preobrazovatelej-napryazheniya_450,Модульный преобразователь DC/DC Иртыш 36 В / 200 Вт ET-F28M-36VP200R23,Модульный преобразователь DC/DC Иртыш 36 В / 200 Вт ET-F28M-36VP200R23⚡Серия «ИРТЫШ»®⚡DC/DC модульные преобразователи ✔ полная «PIN-TO-PIN» совместимость с продукцией VICOR⚡Производство преобразователей напряжения ЭКБ ТЕСТ,ЭКБ ТЕСТ — надёжный партнёр для вашего бизнеса. Комплексные решения в микроэлектронике. Адекватные цены на производство преобразователей. Разумные сроки. Индивидуальный подход.,Модульные преобразователи ИРТЫШ,modulnye-preobrazovateli-irtysh,proizvodstvo-preobrazovatelej-napryazheniya_section_2
proizvodstvo-preobrazovatelej-napryazheniya_267,Модульный преобразователь DC/DC Иртыш 48 В / 200 Вт ET-F28M-48VP200R23,Y,modulnyj-preobrazovatel-dc-dc-irtysh-48-v-200-vt-et-f28m-48vp200r23,26800,,html,ET-F.jpg,,html,ET-F.jpg,ЭКБ ТЕСТ,DC/DC,ET-F28,ET-F28M-48VP200R23,"""28"" (9..36)",48,full brick,117,"55,9","12,7","""M""  (-55..100)",200,"4,2",,ET-F28.pdf,proizvodstvo-preobrazovatelej-napryazheniya_325####proizvodstvo-preobrazovatelej-napryazheniya_451,Модульный преобразователь DC/DC Иртыш 48 В / 200 Вт ET-F28M-48VP200R23,Модульный преобразователь DC/DC Иртыш 48 В / 200 Вт ET-F28M-48VP200R23⚡Серия «ИРТЫШ»®⚡DC/DC модульные преобразователи ✔ полная «PIN-TO-PIN» совместимость с продукцией VICOR⚡Производство преобразователей напряжения ЭКБ ТЕСТ,ЭКБ ТЕСТ — надёжный партнёр для вашего бизнеса. Комплексные решения в микроэлектронике. Адекватные цены на производство преобразователей. Разумные сроки. Индивидуальный подход.,Модульные преобразователи ИРТЫШ,modulnye-preobrazovateli-irtysh,proizvodstvo-preobrazovatelej-napryazheniya_section_2
proizvodstvo-preobrazovatelej-napryazheniya_268,"Модульный преобразователь DC/DC Иртыш 3,3 В / 75 Вт ET-H28C-3V3P075R23",Y,modulnyj-preobrazovatel-dc-dc-irtysh-3-3-v-75-vt-et-h28c-3v3p075r23,26900,,html,ET-H.jpg,,html,ET-H.jpg,ЭКБ ТЕСТ,DC/DC,ET-H28,ET-H28C-3V3P075R23,"""28"" (9..36)","3,3",1/2 brick,"57,9","55,9","12,7","""C""  (-20..100)",75,"45,4",,ET-H28.pdf,proizvodstvo-preobrazovatelej-napryazheniya_326####,"Модульный преобразователь DC/DC Иртыш 3,3 В / 75 Вт ET-H28C-3V3P075R23","Модульный преобразователь DC/DC Иртыш 3,3 В / 75 Вт ET-H28C-3V3P075R23⚡Серия «ИРТЫШ»®⚡DC/DC модульные преобразователи ✔ полная «PIN-TO-PIN» совместимость с продукцией VICOR⚡Производство преобразователей напряжения ЭКБ ТЕСТ",ЭКБ ТЕСТ — надёжный партнёр для вашего бизнеса. Комплексные решения в микроэлектронике. Адекватные цены на производство преобразователей. Разумные сроки. Индивидуальный подход.,Модульные преобразователи ИРТЫШ,modulnye-preobrazovateli-irtysh,proizvodstvo-preobrazovatelej-napryazheniya_section_2
proizvodstvo-preobrazovatelej-napryazheniya_269,Модульный преобразователь DC/DC Иртыш 5 В / 75 Вт ET-H28C-05VP075R23,Y,modulnyj-preobrazovatel-dc-dc-irtysh-5-v-75-vt-et-h28c-05vp075r23,27000,,html,ET-H.jpg,,html,ET-H.jpg,ЭКБ ТЕСТ,DC/DC,ET-H28,ET-H28C-05VP075R23,"""28"" (9..36)",5,1/2 brick,"57,9","55,9","12,7","""C""  (-20..100)",75,40,,ET-H28.pdf,proizvodstvo-preobrazovatelej-napryazheniya_326####,Модульный преобразователь DC/DC Иртыш 5 В / 75 Вт ET-H28C-05VP075R23,Модульный преобразователь DC/DC Иртыш 5 В / 75 Вт ET-H28C-05VP075R23⚡Серия «ИРТЫШ»®⚡DC/DC модульные преобразователи ✔ полная «PIN-TO-PIN» совместимость с продукцией VICOR⚡Производство преобразователей напряжения ЭКБ ТЕСТ,ЭКБ ТЕСТ — надёжный партнёр для вашего бизнеса. Комплексные решения в микроэлектронике. Адекватные цены на производство преобразователей. Разумные сроки. Индивидуальный подход.,Модульные преобразователи ИРТЫШ,modulnye-preobrazovateli-irtysh,proizvodstvo-preobrazovatelej-napryazheniya_section_2
proizvodstvo-preobrazovatelej-napryazheniya_270,Модульный преобразователь DC/DC Иртыш 12 В / 100 Вт ET-H28C-12VP100R23,Y,modulnyj-preobrazovatel-dc-dc-irtysh-12-v-100-vt-et-h28c-12vp100r23,27100,,html,ET-H.jpg,,html,ET-H.jpg,ЭКБ ТЕСТ,DC/DC,ET-H28,ET-H28C-12VP100R23,"""28"" (9..36)",12,1/2 brick,"57,9","55,9","12,7","""C""  (-20..100)",100,"20,8",,ET-H28.pdf,proizvodstvo-preobrazovatelej-napryazheniya_326####,Модульный преобразователь DC/DC Иртыш 12 В / 100 Вт ET-H28C-12VP100R23,Модульный преобразователь DC/DC Иртыш 12 В / 100 Вт ET-H28C-12VP100R23⚡Серия «ИРТЫШ»®⚡DC/DC модульные преобразователи ✔ полная «PIN-TO-PIN» совместимость с продукцией VICOR⚡Производство преобразователей напряжения ЭКБ ТЕСТ,ЭКБ ТЕСТ — надёжный партнёр для вашего бизнеса. Комплексные решения в микроэлектронике. Адекватные цены на производство преобразователей. Разумные сроки. Индивидуальный подход.,Модульные преобразователи ИРТЫШ,modulnye-preobrazovateli-irtysh,proizvodstvo-preobrazovatelej-napryazheniya_section_2
proizvodstvo-preobrazovatelej-napryazheniya_271,Модульный преобразователь DC/DC Иртыш 15 В / 150 Вт ET-H28C-15VP150R23,Y,modulnyj-preobrazovatel-dc-dc-irtysh-15-v-150-vt-et-h28c-15vp150r23,27200,,html,ET-H.jpg,,html,ET-H.jpg,ЭКБ ТЕСТ,DC/DC,ET-H28,ET-H28C-15VP150R23,"""28"" (9..36)",15,1/2 brick,"57,9","55,9","12,7","""C""  (-20..100)",150,"16,7",,ET-H28.pdf,proizvodstvo-preobrazovatelej-napryazheniya_326####,Модульный преобразователь DC/DC Иртыш 15 В / 150 Вт ET-H28C-15VP150R23,Модульный преобразователь DC/DC Иртыш 15 В / 150 Вт ET-H28C-15VP150R23⚡Серия «ИРТЫШ»®⚡DC/DC модульные преобразователи ✔ полная «PIN-TO-PIN» совместимость с продукцией VICOR⚡Производство преобразователей напряжения ЭКБ ТЕСТ,ЭКБ ТЕСТ — надёжный партнёр для вашего бизнеса. Комплексные решения в микроэлектронике. Адекватные цены на производство преобразователей. Разумные сроки. Индивидуальный подход.,Модульные преобразователи ИРТЫШ,modulnye-preobrazovateli-irtysh,proizvodstvo-preobrazovatelej-napryazheniya_section_2
proizvodstvo-preobrazovatelej-napryazheniya_272,Модульный преобразователь DC/DC Иртыш 24 В / 150 Вт ET-H28C-24VP150R23,Y,modulnyj-preobrazovatel-dc-dc-irtysh-24-v-150-vt-et-h28c-24vp150r23,27300,,html,ET-H.jpg,,html,ET-H.jpg,ЭКБ ТЕСТ,DC/DC,ET-H28,ET-H28C-24VP150R23,"""28"" (9..36)",24,1/2 brick,"57,9","55,9","12,7","""C""  (-20..100)",150,"10,4",,ET-H28.pdf,proizvodstvo-preobrazovatelej-napryazheniya_326####,Модульный преобразователь DC/DC Иртыш 24 В / 150 Вт ET-H28C-24VP150R23,Модульный преобразователь DC/DC Иртыш 24 В / 150 Вт ET-H28C-24VP150R23⚡Серия «ИРТЫШ»®⚡DC/DC модульные преобразователи ✔ полная «PIN-TO-PIN» совместимость с продукцией VICOR⚡Производство преобразователей напряжения ЭКБ ТЕСТ,ЭКБ ТЕСТ — надёжный партнёр для вашего бизнеса. Комплексные решения в микроэлектронике. Адекватные цены на производство преобразователей. Разумные сроки. Индивидуальный подход.,Модульные преобразователи ИРТЫШ,modulnye-preobrazovateli-irtysh,proizvodstvo-preobrazovatelej-napryazheniya_section_2
proizvodstvo-preobrazovatelej-napryazheniya_273,Модульный преобразователь DC/DC Иртыш 28 В / 150 Вт ET-H28C-28VP150R23,Y,modulnyj-preobrazovatel-dc-dc-irtysh-28-v-150-vt-et-h28c-28vp150r23,27400,,html,ET-H.jpg,,html,ET-H.jpg,ЭКБ ТЕСТ,DC/DC,ET-H28,ET-H28C-28VP150R23,"""28"" (9..36)",28,1/2 brick,"57,9","55,9","12,7","""C""  (-20..100)",150,"8,9",,ET-H28.pdf,proizvodstvo-preobrazovatelej-napryazheniya_326####,Модульный преобразователь DC/DC Иртыш 28 В / 150 Вт ET-H28C-28VP150R23,Модульный преобразователь DC/DC Иртыш 28 В / 150 Вт ET-H28C-28VP150R23⚡Серия «ИРТЫШ»®⚡DC/DC модульные преобразователи ✔ полная «PIN-TO-PIN» совместимость с продукцией VICOR⚡Производство преобразователей напряжения ЭКБ ТЕСТ,ЭКБ ТЕСТ — надёжный партнёр для вашего бизнеса. Комплексные решения в микроэлектронике. Адекватные цены на производство преобразователей. Разумные сроки. Индивидуальный подход.,Модульные преобразователи ИРТЫШ,modulnye-preobrazovateli-irtysh,proizvodstvo-preobrazovatelej-napryazheniya_section_2
proizvodstvo-preobrazovatelej-napryazheniya_274,Модульный преобразователь DC/DC Иртыш 36 В / 150 Вт ET-H28C-36VP150R23,Y,modulnyj-preobrazovatel-dc-dc-irtysh-36-v-150-vt-et-h28c-36vp150r23,27500,,html,ET-H.jpg,,html,ET-H.jpg,ЭКБ ТЕСТ,DC/DC,ET-H28,ET-H28C-36VP150R23,"""28"" (9..36)",36,1/2 brick,"57,9","55,9","12,7","""C""  (-20..100)",150,"6,9",,ET-H28.pdf,proizvodstvo-preobrazovatelej-napryazheniya_326####,Модульный преобразователь DC/DC Иртыш 36 В / 150 Вт ET-H28C-36VP150R23,Модульный преобразователь DC/DC Иртыш 36 В / 150 Вт ET-H28C-36VP150R23⚡Серия «ИРТЫШ»®⚡DC/DC модульные преобразователи ✔ полная «PIN-TO-PIN» совместимость с продукцией VICOR⚡Производство преобразователей напряжения ЭКБ ТЕСТ,ЭКБ ТЕСТ — надёжный партнёр для вашего бизнеса. Комплексные решения в микроэлектронике. Адекватные цены на производство преобразователей. Разумные сроки. Индивидуальный подход.,Модульные преобразователи ИРТЫШ,modulnye-preobrazovateli-irtysh,proizvodstvo-preobrazovatelej-napryazheniya_section_2
proizvodstvo-preobrazovatelej-napryazheniya_275,Модульный преобразователь DC/DC Иртыш 48 В / 150 Вт ET-H28C-48VP150R23,Y,modulnyj-preobrazovatel-dc-dc-irtysh-48-v-150-vt-et-h28c-48vp150r23,27600,,html,ET-H.jpg,,html,ET-H.jpg,ЭКБ ТЕСТ,DC/DC,ET-H28,ET-H28C-48VP150R23,"""28"" (9..36)",48,1/2 brick,"57,9","55,9","12,7","""C""  (-20..100)",150,"5,2",,ET-H28.pdf,proizvodstvo-preobrazovatelej-napryazheniya_326####,Модульный преобразователь DC/DC Иртыш 48 В / 150 Вт ET-H28C-48VP150R23,Модульный преобразователь DC/DC Иртыш 48 В / 150 Вт ET-H28C-48VP150R23⚡Серия «ИРТЫШ»®⚡DC/DC модульные преобразователи ✔ полная «PIN-TO-PIN» совместимость с продукцией VICOR⚡Производство преобразователей напряжения ЭКБ ТЕСТ,ЭКБ ТЕСТ — надёжный партнёр для вашего бизнеса. Комплексные решения в микроэлектронике. Адекватные цены на производство преобразователей. Разумные сроки. Индивидуальный подход.,Модульные преобразователи ИРТЫШ,modulnye-preobrazovateli-irtysh,proizvodstvo-preobrazovatelej-napryazheniya_section_2
proizvodstvo-preobrazovatelej-napryazheniya_276,"Модульный преобразователь DC/DC Иртыш 3,3 В / 75 Вт ET-H28H-3V3P075R23",Y,modulnyj-preobrazovatel-dc-dc-irtysh-3-3-v-75-vt-et-h28h-3v3p075r23,27700,,html,ET-H.jpg,,html,ET-H.jpg,ЭКБ ТЕСТ,DC/DC,ET-H28,ET-H28H-3V3P075R23,"""28"" (9..36)","3,3",1/2 brick,"57,9","55,9","12,7","""H""  (-40..100)",75,"45,4",,ET-H28.pdf,proizvodstvo-preobrazovatelej-napryazheniya_326####,"Модульный преобразователь DC/DC Иртыш 3,3 В / 75 Вт ET-H28H-3V3P075R23","Модульный преобразователь DC/DC Иртыш 3,3 В / 75 Вт ET-H28H-3V3P075R23⚡Серия «ИРТЫШ»®⚡DC/DC модульные преобразователи ✔ полная «PIN-TO-PIN» совместимость с продукцией VICOR⚡Производство преобразователей напряжения ЭКБ ТЕСТ",ЭКБ ТЕСТ — надёжный партнёр для вашего бизнеса. Комплексные решения в микроэлектронике. Адекватные цены на производство преобразователей. Разумные сроки. Индивидуальный подход.,Модульные преобразователи ИРТЫШ,modulnye-preobrazovateli-irtysh,proizvodstvo-preobrazovatelej-napryazheniya_section_2
proizvodstvo-preobrazovatelej-napryazheniya_277,Модульный преобразователь DC/DC Иртыш 5 В / 75 Вт ET-H28H-05VP075R23,Y,modulnyj-preobrazovatel-dc-dc-irtysh-5-v-75-vt-et-h28h-05vp075r23,27800,,html,ET-H.jpg,,html,ET-H.jpg,ЭКБ ТЕСТ,DC/DC,ET-H28,ET-H28H-05VP075R23,"""28"" (9..36)",5,1/2 brick,"57,9","55,9","12,7","""H""  (-40..100)",75,40,,ET-H28.pdf,proizvodstvo-preobrazovatelej-napryazheniya_326####,Модульный преобразователь DC/DC Иртыш 5 В / 75 Вт ET-H28H-05VP075R23,Модульный преобразователь DC/DC Иртыш 5 В / 75 Вт ET-H28H-05VP075R23⚡Серия «ИРТЫШ»®⚡DC/DC модульные преобразователи ✔ полная «PIN-TO-PIN» совместимость с продукцией VICOR⚡Производство преобразователей напряжения ЭКБ ТЕСТ,ЭКБ ТЕСТ — надёжный партнёр для вашего бизнеса. Комплексные решения в микроэлектронике. Адекватные цены на производство преобразователей. Разумные сроки. Индивидуальный подход.,Модульные преобразователи ИРТЫШ,modulnye-preobrazovateli-irtysh,proizvodstvo-preobrazovatelej-napryazheniya_section_2
proizvodstvo-preobrazovatelej-napryazheniya_278,Модульный преобразователь DC/DC Иртыш 12 В / 100 Вт ET-H28H-12VP100R23,Y,modulnyj-preobrazovatel-dc-dc-irtysh-12-v-100-vt-et-h28h-12vp100r23,27900,,html,ET-H.jpg,,html,ET-H.jpg,ЭКБ ТЕСТ,DC/DC,ET-H28,ET-H28H-12VP100R23,"""28"" (9..36)",12,1/2 brick,"57,9","55,9","12,7","""H""  (-40..100)",100,"20,8",,ET-H28.pdf,proizvodstvo-preobrazovatelej-napryazheniya_326####,Модульный преобразователь DC/DC Иртыш 12 В / 100 Вт ET-H28H-12VP100R23,Модульный преобразователь DC/DC Иртыш 12 В / 100 Вт ET-H28H-12VP100R23⚡Серия «ИРТЫШ»®⚡DC/DC модульные преобразователи ✔ полная «PIN-TO-PIN» совместимость с продукцией VICOR⚡Производство преобразователей напряжения ЭКБ ТЕСТ,ЭКБ ТЕСТ — надёжный партнёр для вашего бизнеса. Комплексные решения в микроэлектронике. Адекватные цены на производство преобразователей. Разумные сроки. Индивидуальный подход.,Модульные преобразователи ИРТЫШ,modulnye-preobrazovateli-irtysh,proizvodstvo-preobrazovatelej-napryazheniya_section_2
proizvodstvo-preobrazovatelej-napryazheniya_279,Модульный преобразователь DC/DC Иртыш 15 В / 150 Вт ET-H28H-15VP150R23,Y,modulnyj-preobrazovatel-dc-dc-irtysh-15-v-150-vt-et-h28h-15vp150r23,28000,,html,ET-H.jpg,,html,ET-H.jpg,ЭКБ ТЕСТ,DC/DC,ET-H28,ET-H28H-15VP150R23,"""28"" (9..36)",15,1/2 brick,"57,9","55,9","12,7","""H""  (-40..100)",150,"16,7",,ET-H28.pdf,proizvodstvo-preobrazovatelej-napryazheniya_326####proizvodstvo-preobrazovatelej-napryazheniya_455,Модульный преобразователь DC/DC Иртыш 15 В / 150 Вт ET-H28H-15VP150R23,Модульный преобразователь DC/DC Иртыш 15 В / 150 Вт ET-H28H-15VP150R23⚡Серия «ИРТЫШ»®⚡DC/DC модульные преобразователи ✔ полная «PIN-TO-PIN» совместимость с продукцией VICOR⚡Производство преобразователей напряжения ЭКБ ТЕСТ,ЭКБ ТЕСТ — надёжный партнёр для вашего бизнеса. Комплексные решения в микроэлектронике. Адекватные цены на производство преобразователей. Разумные сроки. Индивидуальный подход.,Модульные преобразователи ИРТЫШ,modulnye-preobrazovateli-irtysh,proizvodstvo-preobrazovatelej-napryazheniya_section_2
proizvodstvo-preobrazovatelej-napryazheniya_280,Модульный преобразователь DC/DC Иртыш 24 В / 150 Вт ET-H28H-24VP150R23,Y,modulnyj-preobrazovatel-dc-dc-irtysh-24-v-150-vt-et-h28h-24vp150r23,28100,,html,ET-H.jpg,,html,ET-H.jpg,ЭКБ ТЕСТ,DC/DC,ET-H28,ET-H28H-24VP150R23,"""28"" (9..36)",24,1/2 brick,"57,9","55,9","12,7","""H""  (-40..100)",150,"10,4",,ET-H28.pdf,proizvodstvo-preobrazovatelej-napryazheniya_326####proizvodstvo-preobrazovatelej-napryazheniya_456,Модульный преобразователь DC/DC Иртыш 24 В / 150 Вт ET-H28H-24VP150R23,Модульный преобразователь DC/DC Иртыш 24 В / 150 Вт ET-H28H-24VP150R23⚡Серия «ИРТЫШ»®⚡DC/DC модульные преобразователи ✔ полная «PIN-TO-PIN» совместимость с продукцией VICOR⚡Производство преобразователей напряжения ЭКБ ТЕСТ,ЭКБ ТЕСТ — надёжный партнёр для вашего бизнеса. Комплексные решения в микроэлектронике. Адекватные цены на производство преобразователей. Разумные сроки. Индивидуальный подход.,Модульные преобразователи ИРТЫШ,modulnye-preobrazovateli-irtysh,proizvodstvo-preobrazovatelej-napryazheniya_section_2
proizvodstvo-preobrazovatelej-napryazheniya_281,Модульный преобразователь DC/DC Иртыш 28 В / 150 Вт ET-H28H-28VP150R23,Y,modulnyj-preobrazovatel-dc-dc-irtysh-28-v-150-vt-et-h28h-28vp150r23,28200,,html,ET-H.jpg,,html,ET-H.jpg,ЭКБ ТЕСТ,DC/DC,ET-H28,ET-H28H-28VP150R23,"""28"" (9..36)",28,1/2 brick,"57,9","55,9","12,7","""H""  (-40..100)",150,"8,9",,ET-H28.pdf,proizvodstvo-preobrazovatelej-napryazheniya_326####proizvodstvo-preobrazovatelej-napryazheniya_457,Модульный преобразователь DC/DC Иртыш 28 В / 150 Вт ET-H28H-28VP150R23,Модульный преобразователь DC/DC Иртыш 28 В / 150 Вт ET-H28H-28VP150R23⚡Серия «ИРТЫШ»®⚡DC/DC модульные преобразователи ✔ полная «PIN-TO-PIN» совместимость с продукцией VICOR⚡Производство преобразователей напряжения ЭКБ ТЕСТ,ЭКБ ТЕСТ — надёжный партнёр для вашего бизнеса. Комплексные решения в микроэлектронике. Адекватные цены на производство преобразователей. Разумные сроки. Индивидуальный подход.,Модульные преобразователи ИРТЫШ,modulnye-preobrazovateli-irtysh,proizvodstvo-preobrazovatelej-napryazheniya_section_2
proizvodstvo-preobrazovatelej-napryazheniya_282,Модульный преобразователь DC/DC Иртыш 36 В / 150 Вт ET-H28H-36VP150R23,Y,modulnyj-preobrazovatel-dc-dc-irtysh-36-v-150-vt-et-h28h-36vp150r23,28300,,html,ET-H.jpg,,html,ET-H.jpg,ЭКБ ТЕСТ,DC/DC,ET-H28,ET-H28H-36VP150R23,"""28"" (9..36)",36,1/2 brick,"57,9","55,9","12,7","""H""  (-40..100)",150,"6,9",,ET-H28.pdf,proizvodstvo-preobrazovatelej-napryazheniya_326####proizvodstvo-preobrazovatelej-napryazheniya_458,Модульный преобразователь DC/DC Иртыш 36 В / 150 Вт ET-H28H-36VP150R23,Модульный преобразователь DC/DC Иртыш 36 В / 150 Вт ET-H28H-36VP150R23⚡Серия «ИРТЫШ»®⚡DC/DC модульные преобразователи ✔ полная «PIN-TO-PIN» совместимость с продукцией VICOR⚡Производство преобразователей напряжения ЭКБ ТЕСТ,ЭКБ ТЕСТ — надёжный партнёр для вашего бизнеса. Комплексные решения в микроэлектронике. Адекватные цены на производство преобразователей. Разумные сроки. Индивидуальный подход.,Модульные преобразователи ИРТЫШ,modulnye-preobrazovateli-irtysh,proizvodstvo-preobrazovatelej-napryazheniya_section_2
proizvodstvo-preobrazovatelej-napryazheniya_283,Модульный преобразователь DC/DC Иртыш 48 В / 150 Вт ET-H28H-48VP150R23,Y,modulnyj-preobrazovatel-dc-dc-irtysh-48-v-150-vt-et-h28h-48vp150r23,28400,,html,ET-H.jpg,,html,ET-H.jpg,ЭКБ ТЕСТ,DC/DC,ET-H28,ET-H28H-48VP150R23,"""28"" (9..36)",48,1/2 brick,"57,9","55,9","12,7","""H""  (-40..100)",150,"5,2",,ET-H28.pdf,proizvodstvo-preobrazovatelej-napryazheniya_326####proizvodstvo-preobrazovatelej-napryazheniya_459,Модульный преобразователь DC/DC Иртыш 48 В / 150 Вт ET-H28H-48VP150R23,Модульный преобразователь DC/DC Иртыш 48 В / 150 Вт ET-H28H-48VP150R23⚡Серия «ИРТЫШ»®⚡DC/DC модульные преобразователи ✔ полная «PIN-TO-PIN» совместимость с продукцией VICOR⚡Производство преобразователей напряжения ЭКБ ТЕСТ,ЭКБ ТЕСТ — надёжный партнёр для вашего бизнеса. Комплексные решения в микроэлектронике. Адекватные цены на производство преобразователей. Разумные сроки. Индивидуальный подход.,Модульные преобразователи ИРТЫШ,modulnye-preobrazovateli-irtysh,proizvodstvo-preobrazovatelej-napryazheniya_section_2
proizvodstvo-preobrazovatelej-napryazheniya_284,"Модульный преобразователь DC/DC Иртыш 3,3 В / 75 Вт ET-H28M-3V3P075R23",Y,modulnyj-preobrazovatel-dc-dc-irtysh-3-3-v-75-vt-et-h28m-3v3p075r23,28500,,html,ET-H.jpg,,html,ET-H.jpg,ЭКБ ТЕСТ,DC/DC,ET-H28,ET-H28M-3V3P075R23,"""28"" (9..36)","3,3",1/2 brick,"57,9","55,9","12,7","""M""  (-55..100)",75,"45,4",,ET-H28.pdf,proizvodstvo-preobrazovatelej-napryazheniya_326####,"Модульный преобразователь DC/DC Иртыш 3,3 В / 75 Вт ET-H28M-3V3P075R23","Модульный преобразователь DC/DC Иртыш 3,3 В / 75 Вт ET-H28M-3V3P075R23⚡Серия «ИРТЫШ»®⚡DC/DC модульные преобразователи ✔ полная «PIN-TO-PIN» совместимость с продукцией VICOR⚡Производство преобразователей напряжения ЭКБ ТЕСТ",ЭКБ ТЕСТ — надёжный партнёр для вашего бизнеса. Комплексные решения в микроэлектронике. Адекватные цены на производство преобразователей. Разумные сроки. Индивидуальный подход.,Модульные преобразователи ИРТЫШ,modulnye-preobrazovateli-irtysh,proizvodstvo-preobrazovatelej-napryazheniya_section_2
proizvodstvo-preobrazovatelej-napryazheniya_285,Модульный преобразователь DC/DC Иртыш 5 В / 75 Вт ET-H28M-05VP075R23,Y,modulnyj-preobrazovatel-dc-dc-irtysh-5-v-75-vt-et-h28m-05vp075r23,28600,,html,ET-H.jpg,,html,ET-H.jpg,ЭКБ ТЕСТ,DC/DC,ET-H28,ET-H28M-05VP075R23,"""28"" (9..36)",5,1/2 brick,"57,9","55,9","12,7","""M""  (-55..100)",75,40,,ET-H28.pdf,proizvodstvo-preobrazovatelej-napryazheniya_326####,Модульный преобразователь DC/DC Иртыш 5 В / 75 Вт ET-H28M-05VP075R23,Модульный преобразователь DC/DC Иртыш 5 В / 75 Вт ET-H28M-05VP075R23⚡Серия «ИРТЫШ»®⚡DC/DC модульные преобразователи ✔ полная «PIN-TO-PIN» совместимость с продукцией VICOR⚡Производство преобразователей напряжения ЭКБ ТЕСТ,ЭКБ ТЕСТ — надёжный партнёр для вашего бизнеса. Комплексные решения в микроэлектронике. Адекватные цены на производство преобразователей. Разумные сроки. Индивидуальный подход.,Модульные преобразователи ИРТЫШ,modulnye-preobrazovateli-irtysh,proizvodstvo-preobrazovatelej-napryazheniya_section_2
proizvodstvo-preobrazovatelej-napryazheniya_286,Модульный преобразователь DC/DC Иртыш 12 В / 100 Вт ET-H28M-12VP100R23,Y,modulnyj-preobrazovatel-dc-dc-irtysh-12-v-100-vt-et-h28m-12vp100r23,28700,,html,ET-H.jpg,,html,ET-H.jpg,ЭКБ ТЕСТ,DC/DC,ET-H28,ET-H28M-12VP100R23,"""28"" (9..36)",12,1/2 brick,"57,9","55,9","12,7","""M""  (-55..100)",100,"20,8",,ET-H28.pdf,proizvodstvo-preobrazovatelej-napryazheniya_326####,Модульный преобразователь DC/DC Иртыш 12 В / 100 Вт ET-H28M-12VP100R23,Модульный преобразователь DC/DC Иртыш 12 В / 100 Вт ET-H28M-12VP100R23⚡Серия «ИРТЫШ»®⚡DC/DC модульные преобразователи ✔ полная «PIN-TO-PIN» совместимость с продукцией VICOR⚡Производство преобразователей напряжения ЭКБ ТЕСТ,ЭКБ ТЕСТ — надёжный партнёр для вашего бизнеса. Комплексные решения в микроэлектронике. Адекватные цены на производство преобразователей. Разумные сроки. Индивидуальный подход.,Модульные преобразователи ИРТЫШ,modulnye-preobrazovateli-irtysh,proizvodstvo-preobrazovatelej-napryazheniya_section_2
