Внешний код,Название,Символьный код,Активность,Сортировка,Текст анонса,Тип текста,Картинка анонса,Детальный текст,Тип текста,Детальная картинка,Производитель,Партномер,Тип,Мощность_Вт,Рабочее напряжение_В,Коэффициент усиления_Дб,Граничная частота усиления_до_ГГц,Граничная частота усиления_от_МГц,Граничная частота усиления_до_МГц,Тип корпуса,Размер корпуса с фланцами и выводами_мм_x,Размер корпуса с фланцами и выводами_мм_y,Размер корпуса с фланцами и выводами_мм_z,Размер кристалла_мм_x,Размер кристалла_мм_y,Размер кристалла_Круг,Дополнительные фото,Заменяет,Заголовок h1,title,description,Название секции 1 уровень,Символьный код секции 1 уровень,XML_ID секции 1 уровень
svch-tranzistory_18,Высокочастотный транзистор D1008UK,,Y,1900,,html,,,html,D1008UK (SEMELAB).png,SEMELAB,D1008UK,Сдвоенный N-канальный радиочастотный LDMOS с общим истоком,80,28,13,"0,5",,,"Керамический корпус с фланцами: 2 монтажных отверстия, 4 вывода ",24.76,16.51,4.82,12.90,6.47,,,svch-tranzistory_1####svch-tranzistory_2,,,,СВЧ-транзисторы других производителей,svch-tranzistory-drugih-proizvoditelej,svch-tranzistory_section_2
svch-tranzistory_19,Высокочастотный транзистор D2022UK,,Y,2000,,html,,,html,D2022UK (SemeLAB).png,SEMELAB,D2022UK,Сдвоенный N-канальный радиочастотный LDMOS с общим истоком,45,28,13,"0,5",,,"Керамический корпус с фланцами: 2 монтажных отверстия, 4 вывода ",18.90,16.38,05.08,6.35,6.35,,,svch-tranzistory_3,,,,СВЧ-транзисторы других производителей,svch-tranzistory-drugih-proizvoditelej,svch-tranzistory_section_2
svch-tranzistory_20,Высокочастотный транзистор D1028UK,,Y,2100,,html,,,html,D1028UK (SemeLAB).png,SEMELAB,D1028UK,Сдвоенный N-канальный радиочастотный LDMOS с общим истоком,300,28,13,175,,,"Керамический корпус с фланцами: 2 монтажных отверстия, 4 вывода",34.03,19.05,05.08,21.54,10.16,,,svch-tranzistory_4,,,,СВЧ-транзисторы других производителей,svch-tranzistory-drugih-proizvoditelej,svch-tranzistory_section_2
svch-tranzistory_21,Высокочастотный транзистор PD55015-E,,Y,2200,,html,,,html,PD55015-E.png,SEMELAB,PD55015-E ,Сдвоенный LDMOS с общим истоком,15,"12,5",14,1,,,Пластиковый корпус PowerSO-10RF с 2-мя формованными или прямыми выводами,13.85,9.40,3.40,9.30,7.40,,,svch-tranzistory_5,,,,СВЧ-транзисторы других производителей,svch-tranzistory-drugih-proizvoditelej,svch-tranzistory_section_2
svch-tranzistory_22,Высокочастотный транзистор PD55003,,Y,2300,,html,,,html,PD55003.png,STMicroelectronics,PD55003,Радиочастотный N-канальный LDMOS,3,"12,5",17,"0,5",,,Пластиковый корпус PowerSO-10RF с 2-мя формованными или прямыми выводами,13.85,9.40,3.40,9.30,7.40,,,svch-tranzistory_6,,,,СВЧ-транзисторы других производителей,svch-tranzistory-drugih-proizvoditelej,svch-tranzistory_section_2
svch-tranzistory_23,Высокочастотный транзистор NPTB00025,,Y,2400,,html,,,html,NPTB00025.png,STMicroelectronics,NPTB00025,Радиочастотный N-канальный LDMOS,25,28,"13,5",4,,,"Керамический корпус с фланцами: 2 монтажных отверстия, 4 вывода",13.97,8.13,3.10,05.08,04.06,,,svch-tranzistory_7,,,,СВЧ-транзисторы других производителей,svch-tranzistory-drugih-proizvoditelej,svch-tranzistory_section_2
svch-tranzistory_24,Высокочастотный транзистор BLF171A (MRF171A),,Y,2500,,html,,,html,BLF171A.png,MACOM,BLF171A (MRF171A),Нитрид-галлиевый (GaN) радиочастотный HEMT ,45,28,17,,,200,Керамический корпус с фланцами,20.32,20.32,6.67,9.67,,Y,,svch-tranzistory_8,,,,СВЧ-транзисторы других производителей,svch-tranzistory-drugih-proizvoditelej,svch-tranzistory_section_2
svch-tranzistory_25,Высокочастотный транзистор MFR174,,Y,2600,,html,,,html,MFR174.png,MACOM,MFR174,Радиочастотный N-канальный LDMOS,125,28,9,,,150,Керамический корпус с фланцами,26.04,26.04,"6,58",12.70,,Y,,svch-tranzistory_9,,,,СВЧ-транзисторы других производителей,svch-tranzistory-drugih-proizvoditelej,svch-tranzistory_section_2
svch-tranzistory_26,Высокочастотный транзистор D1002UK,,Y,2700,,html,,,html,D1002UK.png,MACOM,D1002UK,,40,28,16,,,108,Керамический корпус с фланцами,20.32,20.32,6.67,9.52,,Y,,svch-tranzistory_10,,,,СВЧ-транзисторы других производителей,svch-tranzistory-drugih-proizvoditelej,svch-tranzistory_section_2
svch-tranzistory_27,Высокочастотный транзистор BLF278,,Y,2800,,html,,,html,BLF278.png,SEMELAB,BLF278,Радиочастотный N-канальный LDMOS,300,50,18,,,225,Керамический корпус с фланцами,34.30,20,5.80,22.00,10.40,,,svch-tranzistory_11,,,,СВЧ-транзисторы других производителей,svch-tranzistory-drugih-proizvoditelej,svch-tranzistory_section_2
